PERNO,EL,HPL,CL,FL
710752,195,74,9,4
711074,295,260,13,5
711209,300,244,8,5
711214,253,395,11,2
711242,13,44,15,5
711256,200,223,12,2
711261,124,66,9,5
711312,33,31,15,4
711326,299,158,4,5
711347,297,150,8,2
711352,85,39,4,0
711368,40,20,10,4
711373,65,25,3,5
711389,50,27,9,5
711401,117,60,9,2
711417,159,65,14,4
711422,59,39,2,2
711443,77,12,3,2
711459,63,42,10,3
711464,150,205,13,2
711471,79,36,5,3
711485,125,15,7,2
711508,297,494,15,4
723719,258,158,8,5
724646,188,60,8,4
726271,294,140,9,4
728281,300,275,11,2
728827,268,224,10,2
728832,253,144,9,5
728848,300,258,8,5
729086,217,156,10,5
729359,300,61,9,4
729476,300,121,8,5
729572,300,294,11,5
729588,296,125,10,3
729593,300,259,6,5
729602,262,114,13,5
729728,247,162,11,3
729733,244,196,10,4
729796,283,203,7,3
729999,298,255,12,1
730159,181,156,6,5
730208,179,184,7,5
730255,292,328,4,5
730549,20,20,9,2
732884,197,118,12,5
733668,169,118,5,1
733673,270,320,8,5
733738,293,256,12,4
733771,296,390,6,5
733967,283,234,15,2
734072,293,208,12,4
734282,259,211,11,4
734436,252,87,11,5
734569,291,86,11,4
734574,297,353,12,4
734581,300,308,10,4
734602,245,315,15,2
734618,293,431,10,2
734639,73,16,6,3
734691,292,145,12,5
734714,300,148,13,5
734742,292,90,8,4
734831,188,98,12,5
734868,300,201,9,5
735155,292,141,14,5
735225,289,278,10,5
735232,297,276,10,4
735246,298,202,13,5
735391,296,116,12,4
735407,289,123,11,3
735428,300,236,12,4
735433,181,130,8,4
735496,261,380,12,5
735519,300,312,13,4
735524,226,168,15,2
735545,190,156,12,5
735592,272,220,14,5
735601,300,334,10,2
735622,284,206,13,4
735956,282,160,5,4
736035,300,108,10,2
736042,154,44,9,4
736056,122,155,13,4
736061,146,136,12,5
736292,109,96,2,5
736432,36,46,7,4
736516,207,300,10,5
736521,168,166,8,4
736542,89,48,9,5
736563,262,237,14,2
736579,59,36,6,4
736682,300,254,14,2
736696,194,209,15,0
736731,112,108,5,5
736771,14,16,7,3
736787,222,154,10,5
736792,154,138,9,4
736801,202,234,10,5
736841,129,142,8,4
736857,158,62,5,5
736878,153,102,7,4
736906,171,141,9,5
736911,172,68,8,5
736927,81,132,9,5
736953,80,0,5,5
736969,59,50,6,5
736974,114,174,5,1
736981,172,115,9,4
736995,52,58,8,5
737006,36,29,5,5
737011,123,197,8,5
737027,106,46,9,5
737032,22,40,2,5
737048,3,180,10,5
737053,169,108,9,1
737069,137,40,8,5
737074,123,172,9,2
737081,60,52,9,5
737102,105,88,6,5
737118,20,18,5,4
737123,16,118,10,5
737139,123,188,6,5
737144,39,14,4,5
737165,136,84,3,4
737172,94,36,8,5
737186,161,120,8,2
737209,207,162,9,3
737214,31,126,8,5
737235,138,46,7,2
737242,0,28,1,5
737261,187,168,4,5
737277,138,42,0,4
737298,95,27,5,5
737305,132,105,6,5
737312,0,66,2,4
737326,77,26,9,5
737331,60,48,1,5
737347,37,52,10,5
737352,29,23,6,2
737368,20,29,10,2
737373,22,18,6,4
737389,42,34,6,3
